Region,Energy_Source,Temperature_C,Wind_Speed_m_s,Solar_Radiation_kWh_m2,Rainfall_mm,Season,Efficiency_Ratio,Lagged_Production_MWh,Combined_Weather_Index,Energy_Class
East,Solar,0.110091649,16.119851,0.776493347,4.136841781,Summer,13.17501951,8137.474628,15.22067512,Low
East,Hydro,25.2207938,11.00453084,4.07543031,24.22689975,Summer,158.0806532,237.2351455,0.575114593,High
West,Hydro,18.41384654,0.868250657,4.071064891,15.12097556,Monsoon,276.016627,6528.85032,0.254422303,High
South,Wind,29.75432763,12.66302751,0.660098441,28.17041822,Summer,181.6505169,6721.877657,0.43321142,High
East,Wind,18.40735755,19.02806684,3.48820534,40.19024452,Winter,222.6489967,8006.692226,1.160192578,High
South,Solar,33.34816751,12.0322364,1.109980988,6.857424408,Spring,6.303690846,9334.254097,0.382617716,Low
East,Hydro,19.83580774,16.38377719,8.0823521,29.03495423,Spring,35.81433358,299.3647046,1.17423474,Low
West,Solar,20.24220872,17.68412927,9.47688026,25.27543802,Spring,183.3162367,1622.458685,1.278633963,High
West,Wind,34.44941212,4.561595439,0.723164753,7.203939301,Winter,113.8929185,8873.095811,0.149078923,Medium
South,Hydro,13.15672898,4.240896798,9.551152073,31.19992428,Winter,203.5669451,4639.333766,0.974239804,High
East,Solar,1.03068528,12.21961978,5.225765993,13.68202089,Winter,342.1618919,5689.447325,8.590886013,High
North,Solar,-3.704779566,8.220569396,2.99565678,24.39171593,Monsoon,801.5980946,6663.969317,-4.146817107,High
West,Solar,28.98117651,16.79722606,0.768620753,4.113616214,Winter,196.1054414,6822.759385,0.585895847,High
South,Solar,22.91392981,18.00046247,5.006242681,22.97920286,Summer,212.4821891,9324.229993,0.96206292,High
South,Solar,26.68358956,7.068427586,7.945155445,15.3231734,Monsoon,169.3217238,9969.799232,0.542327901,High
East,Hydro,4.583387268,4.737411179,7.070864773,41.11906056,Monsoon,169.2471809,7229.558863,2.114894666,Medium
South,Solar,1.136716401,15.6105103,0.502260115,2.84893635,Monsoon,482.7285758,2943.489971,7.540902671,High
West,Hydro,-4.345490045,5.496120711,0.729018354,20.93036375,Winter,203.9439702,8809.548783,-1.860755519,Low
South,Solar,10.77644015,16.45228637,4.028732826,22.92157121,Monsoon,74.02010239,587.287054,1.73915198,Medium
South,Wind,21.54629591,8.474765073,2.95290494,36.25030381,Winter,264.4412673,2387.700443,0.506853545,High
North,Wind,12.65098203,13.35099799,2.323843231,28.71437875,Winter,89.89674291,8984.118603,1.148257406,Medium
North,Solar,14.68637149,1.910706277,2.810044989,33.36061686,Monsoon,111.9435365,2636.295993,0.300946033,Medium
West,Wind,35.68714125,12.47718649,8.034827433,38.85246428,Spring,25.6549314,2284.44549,0.559106358,Low
East,Hydro,10.67149602,9.035353575,9.292280536,43.11014868,Spring,286.8485307,1467.440402,1.570290054,High
North,Solar,18.12952701,11.73216926,4.051026945,15.69377484,Monsoon,144.662928,8605.206401,0.825069862,High
East,Hydro,30.26438557,3.360284155,9.061110021,26.90113527,Spring,155.2322689,5050.576766,0.39730172,High
West,Solar,12.8444252,14.7374749,3.214957012,42.00540392,Summer,77.57864852,6781.44271,1.296726418,Medium
North,Wind,22.99390151,17.25594155,4.764369863,49.47255655,Summer,165.2663315,2466.757202,0.917746178,High
East,Hydro,33.80636689,4.334796002,2.260289978,44.47596555,Winter,184.1494529,7604.600168,0.189479298,High
North,Wind,37.72842806,1.91429111,6.404760422,18.57336313,Spring,67.90417837,7624.054895,0.214804782,Medium
West,Wind,1.618306642,0.472771721,9.789811152,9.758325861,Summer,323.4060864,3194.720447,3.919549647,Medium
West,Solar,36.69644313,12.83943001,6.03493096,24.46962687,Monsoon,38.46389991,4165.758067,0.500693418,Medium
North,Hydro,17.14523319,12.14188072,3.578140841,37.08207259,Spring,288.4358675,2175.933747,0.866344422,High
East,Wind,6.620997473,10.93394825,6.47817446,24.62845354,Summer,259.315078,9767.954131,2.284756395,High
South,Solar,15.66110903,4.638941922,1.229206785,24.15904317,Summer,415.103974,6491.465513,0.352206369,High
South,Solar,39.10146589,7.818119918,8.886590803,41.91152105,Monsoon,54.63344071,9351.984419,0.416561099,Medium
North,Solar,17.16781423,11.8895267,5.030839508,18.07018895,Winter,223.4575843,3103.516882,0.931337474,High
East,Wind,9.793822463,9.935337177,4.49349742,42.98973374,Monsoon,304.5674592,7840.720039,1.336767827,High
South,Solar,23.50303844,19.7557104,5.858647885,20.34024005,Winter,138.6223429,7682.000574,1.045354369,High
West,Hydro,5.806552845,2.728795051,6.247838628,16.41165528,Summer,612.0326742,6947.390953,1.3188223,High
East,Hydro,-1.586150235,13.90289108,0.717758062,22.69949556,Winter,284.7410409,9659.825855,-24.94351835,Medium
South,Wind,0.799587486,8.086375362,6.826172212,38.12234793,Summer,83.41851586,3996.197827,8.28664774,Low
East,Hydro,0.762062753,8.563992299,2.419316803,6.300101393,Summer,529.5975499,1394.101504,6.233211094,High
North,Solar,1.835621208,14.35195531,7.139526325,9.820960794,Spring,300.905828,6749.917707,7.579108795,High
East,Wind,1.247222769,13.84872303,8.225347944,47.57224128,Winter,238.1904408,7320.167025,9.822822763,High
South,Solar,23.83936352,19.82511987,8.039585076,8.774581369,Winter,40.74632575,5793.099677,1.121796254,Medium
North,Wind,3.184603798,2.567885789,5.525009674,28.3863659,Winter,414.9146104,2147.497142,1.933969344,High
East,Wind,10.55502775,2.082192988,5.201698923,28.96572333,Monsoon,169.3663145,5094.113823,0.630365592,Medium
West,Solar,35.35547845,14.48677634,1.428759613,24.4812231,Spring,82.87420243,3190.678392,0.437775451,Medium
South,Hydro,16.32827381,11.56773834,7.753461504,32.23726243,Spring,177.0192926,4331.918629,1.115010073,High
North,Hydro,25.04009823,5.483213331,2.714093804,11.49133629,Spring,218.4051587,6487.663901,0.314795553,High
East,Wind,2.754394204,1.58838738,4.966954228,27.63311339,Monsoon,232.6950451,7477.625953,1.746045101,Medium
West,Solar,3.653005846,1.713164992,2.842740929,18.60866276,Winter,446.6022885,2399.02444,0.979131785,Medium
South,Solar,-3.160912268,17.88381749,1.33828363,33.08336298,Winter,162.0461256,4112.72107,-8.895363966,Medium
West,Wind,2.602077838,3.837346494,6.295576969,7.061177169,Winter,150.451604,2764.699553,2.813077318,Medium
East,Hydro,7.536565256,6.467431242,0.543320348,28.54387084,Spring,505.2661855,2066.452977,0.821261407,High
East,Solar,2.965471792,4.533128045,7.486452341,9.263517769,Spring,569.3820435,7855.533478,3.031059358,High
North,Hydro,-1.008385981,7.099926117,3.175867953,13.93215316,Summer,366.7233839,9101.601675,-1225.353856,Medium
West,Hydro,0.4286142,1.388476855,0.00134693,10.93549002,Monsoon,2674.41093,3765.298638,0.972847523,High
North,Wind,15.73504456,10.38119582,5.111291392,9.141888993,Monsoon,278.6516022,7537.661351,0.925751178,High
South,Wind,4.285017328,1.352251272,0.468519085,41.28554758,Spring,1192.919077,8980.253365,0.344515494,High
North,Hydro,11.39214375,16.00713016,2.761695578,14.28537838,Summer,61.28989496,8476.629684,1.514574566,Low
South,Solar,17.65377719,4.674241638,7.069764875,46.35618909,Winter,314.7364203,1909.852547,0.629577934,High
East,Solar,26.06776729,10.80023829,0.626896216,48.49632627,Spring,99.47023064,9567.289627,0.422167606,Medium
East,Wind,-3.230953707,17.60158175,8.393384924,28.5630235,Monsoon,145.5344495,3829.09676,-11.65195252,Medium
West,Hydro,30.97346795,13.01754738,0.038199227,7.150056133,Monsoon,15.94676139,3458.482546,0.408330639,Low
South,Solar,23.25551753,10.65915573,2.468238692,18.72741217,Monsoon,131.4268718,718.0701401,0.541212712,Medium
East,Solar,-1.320843562,6.486675062,7.409040562,39.88661317,Winter,86.86894355,4913.119176,-43.3099406,Low
West,Wind,34.31103808,6.660038261,3.162701497,18.36953643,Monsoon,56.73232664,1179.234795,0.278177598,Medium
West,Hydro,36.43925802,13.3897391,1.018923881,4.350860915,Winter,62.44670746,2560.544227,0.384854395,Medium
North,Solar,-2.251491807,19.88278722,3.602339188,27.83924555,Winter,364.6448611,3237.731955,-18.76570529,High
West,Wind,7.459494167,13.2367838,2.703932864,42.25604257,Winter,359.3140117,8107.380603,1.884358136,High
East,Solar,31.27905759,11.15566835,8.427119022,39.79631936,Spring,59.66653414,8767.337639,0.606671595,Medium
North,Solar,28.67168607,14.6130102,3.133479176,8.756157007,Winter,181.3884933,3094.416543,0.598095078,High
South,Solar,3.303445871,9.304112246,7.889324718,33.63823072,Summer,399.4340178,8601.1114,3.99527204,High
South,Wind,4.42071955,1.202846852,8.918721448,11.02521317,Monsoon,493.4951973,8586.58628,1.867200139,High
East,Hydro,11.67124463,11.24593632,4.338174196,10.91037673,Spring,54.93760815,7670.044409,1.229880014,Low
East,Wind,16.80353433,19.15250569,9.099431439,43.70358867,Monsoon,150.5618326,1552.281629,1.586872393,High
North,Hydro,22.82146472,3.506058847,3.77318054,12.48344764,Winter,304.0361468,6934.196184,0.305574803,High
North,Solar,11.60111378,13.80009782,9.640784165,13.16236733,Spring,190.2544683,9455.738239,1.860223024,High
East,Hydro,15.81406223,4.018673773,0.892895245,0.032669538,Summer,155.7150063,6857.15074,0.292110791,Medium
East,Solar,28.63619222,10.71655369,6.870192665,43.53345171,Winter,107.0610046,3383.006806,0.593421254,High
South,Solar,-3.34925587,1.933528993,4.938140405,39.62974066,Monsoon,1435.666573,5055.735243,-2.925040855,High
South,Wind,6.359662495,9.007418725,3.876488055,31.36644675,Summer,254.6313338,6492.677929,1.75061109,High
South,Solar,27.10073136,15.12326658,6.327118787,37.5132882,Winter,25.98395774,5154.647046,0.763339042,Low
East,Wind,35.2843077,6.951430485,7.038570916,7.602428371,Summer,63.44063398,1287.534123,0.385566166,Medium
West,Hydro,18.0254849,13.29823449,0.043632697,22.91617973,Winter,248.5133996,3189.434042,0.701262925,High
East,Hydro,18.94510684,15.90899922,1.669530887,17.56096937,Spring,229.9360979,8043.720702,0.881345497,High
East,Solar,-0.17725949,18.54355639,7.130460506,4.688826313,Winter,55.07354359,8628.038656,31.2054853,Low
South,Wind,15.13355651,4.692841637,6.663854136,24.30652426,Spring,346.6184578,1459.270324,0.703917687,High
East,Solar,18.96777699,7.986318316,9.660475051,46.03698252,Winter,89.203303,9528.628849,0.883763544,Medium
North,Wind,5.911172664,3.048320267,7.610377903,2.002955953,Winter,378.8818983,3355.343917,1.542241626,High
East,Wind,7.115945393,19.84967004,9.507727077,14.57304567,Monsoon,201.2915966,6656.906013,3.617249217,High
East,Wind,11.97778734,18.54001936,7.025405015,10.37704681,Summer,211.1465901,7543.068945,1.969937071,High
East,Hydro,-4.0967961,10.79914261,2.980522086,11.90733268,Summer,885.8034685,8138.267723,-4.449651913,High
East,Wind,9.493562451,16.84066589,1.053649223,45.42172759,Summer,112.6503212,9462.922052,1.705265985,Medium
West,Hydro,4.515160315,10.41915955,7.818238633,23.40345271,Winter,362.0331638,3197.903525,3.306775712,High
East,Wind,9.737380848,12.47171376,6.441492215,23.31497065,Winter,47.34140179,8599.2139,1.761435702,Low
North,Hydro,0.389295932,1.782488642,0.481860124,38.02878212,Winter,1937.765042,1403.700344,1.629853449,High
North,Hydro,35.07372763,15.10540841,3.600504659,7.7246102,Spring,135.918736,7079.904973,0.518546718,High
East,Hydro,21.71166041,2.554269673,9.567998155,24.36326771,Spring,195.4835539,7445.579522,0.533746437,High
South,Solar,25.55960436,16.52135261,5.004011457,21.49926071,Monsoon,54.02760931,6809.460088,0.810454997,Medium
West,Wind,30.51270574,15.64056175,4.32729136,29.84553453,Winter,169.8335712,2597.915888,0.633644514,High
East,Solar,17.42989895,14.17489395,4.576996052,49.97788516,Summer,47.64963809,8743.127155,1.017471124,Low
East,Wind,-1.088587036,0.72320761,2.08882724,38.4724447,Summer,231.6858919,1771.698787,-31.74318699,Low
East,Wind,19.16979438,6.062567119,3.687071709,19.89328515,Monsoon,240.7433108,630.9844361,0.483378196,High
South,Solar,21.40785031,5.262251398,3.69813256,41.37765261,Summer,153.2508824,7202.903407,0.399877,Medium
South,Hydro,28.54477634,7.202728149,0.523550202,8.535418166,Monsoon,228.2218861,4807.209581,0.261510809,High
South,Wind,14.42467958,1.752854935,7.675676285,1.523184315,Winter,156.7456104,8506.070398,0.611262696,Medium
West,Hydro,0.741113626,18.73915646,4.165044319,10.22241862,Summer,71.65491976,3895.631696,13.15491444,Low
North,Solar,7.769915761,11.07604481,8.221798868,17.02057781,Winter,298.5909054,1765.958026,2.200459412,High
West,Hydro,11.33870334,6.110486213,8.503480011,25.52903787,Spring,205.3305087,8380.777705,1.184400486,High
South,Wind,24.06627586,7.939630341,2.119940547,30.75645703,Summer,56.17055608,5534.205353,0.401318925,Low
North,Wind,20.68502371,8.94405081,6.573534822,45.53028586,Spring,194.3896333,1973.038345,0.715589978,High
North,Wind,11.02435267,12.01188667,4.722818042,25.49270048,Summer,179.422606,7231.801586,1.391734356,High
South,Solar,39.3931862,10.31358855,8.801567379,25.06378223,Winter,102.2158962,5160.025021,0.473227238,High
South,Wind,22.25986687,18.38783946,2.157406792,2.512150491,Monsoon,106.4463305,6082.698524,0.883291653,Medium
West,Solar,5.675205628,9.939269658,6.778132003,1.745577633,Winter,354.9933035,4662.893548,2.5044025,High
South,Hydro,-0.419788732,19.8431603,6.077521223,27.5579981,Winter,313.675126,8304.21894,44.67455727,High
North,Wind,1.878661263,17.02849915,2.953014776,21.90893066,Winter,311.5876968,8312.670885,6.941252236,High
East,Wind,6.068097777,4.170210287,1.366009037,41.95901975,Summer,90.72079249,7122.949336,0.783268639,Low
South,Wind,2.230661797,18.61190429,6.516397605,8.033979236,Monsoon,296.3667264,1143.473636,7.778066377,High
South,Hydro,3.395516082,2.327327958,7.385974581,1.248583106,Spring,477.9300584,8404.653233,2.209820726,High
West,Wind,7.829282591,16.34899417,3.156273438,22.4519384,Winter,247.0672446,6743.028507,2.209156566,High
West,Solar,2.801811788,7.61246587,6.44832604,11.87392784,Summer,206.7744536,7000.539243,3.698445029,Medium
South,Hydro,35.35444411,17.55948641,3.951309076,2.480718667,Spring,152.1616029,3693.53012,0.591696449,High
North,Hydro,-1.389481445,17.3611338,7.132068833,36.22991434,Winter,302.0769609,8804.867606,-62.88669957,High
North,Hydro,18.60301253,16.118508,1.992152749,5.579649998,Spring,32.20703562,7281.178842,0.923871304,Low
East,Hydro,13.46785721,15.80060873,8.902150026,30.415975,Winter,105.6149473,1214.645619,1.707423455,Medium
South,Hydro,39.20703776,6.093582782,2.874095965,14.05248751,Spring,180.4822928,4137.002541,0.223037539,High
West,Solar,0.041750598,1.618385661,3.677859878,8.674802518,Spring,89.49947817,8875.165583,5.083986082,Low
North,Hydro,12.90350196,8.059603575,0.580919521,18.98757615,Monsoon,426.6329776,567.2473468,0.621463795,High
East,Wind,38.6261695,3.4704903,1.115122123,40.07228881,Monsoon,154.3414251,9618.024534,0.115721819,High
South,Hydro,33.94782067,13.89902178,5.158619027,19.60467885,Winter,117.5922213,6823.709426,0.545317002,High
North,Hydro,31.76824319,6.921994531,2.675926767,37.53848246,Summer,65.58386091,6350.622179,0.292903139,Medium
South,Hydro,6.605627217,19.51220402,8.354802257,6.27431484,Monsoon,72.25397317,2778.536639,3.663998442,Medium
South,Hydro,2.689941433,12.81944155,0.146933887,38.63857098,Spring,565.9340206,2563.038709,3.513978655,High
North,Hydro,25.0889449,16.44961127,3.790940487,11.84666625,Monsoon,65.89532625,9426.376373,0.775828683,Medium
North,Solar,36.82191951,2.650493455,3.373455468,33.86965649,Monsoon,177.3827892,3052.897297,0.15927137,High
North,Solar,20.05433019,17.24028965,0.193276309,28.28907774,Winter,103.7184726,7777.502438,0.828027574,Medium
South,Hydro,20.72257103,18.45514381,1.24368399,46.45723586,Monsoon,35.69689442,3991.905802,0.906836846,Low
South,Solar,7.599059215,9.741238376,4.136426749,19.3661259,Monsoon,9.168660169,1478.615301,1.613858537,Low
East,Wind,29.62718199,12.12505876,4.928645844,3.308259442,Spring,115.1016273,206.0814472,0.556815988,High
West,Hydro,3.416968685,15.29619602,4.042897473,0.957774278,Monsoon,410.8513537,5488.147636,4.378363278,High
South,Wind,9.565565638,3.496772545,5.309376784,41.34292805,Spring,193.8108384,9760.210304,0.833476373,Medium
West,Wind,14.14463974,10.05132153,5.951316749,26.23678188,Monsoon,116.7422753,3754.448319,1.056653612,Medium
North,Hydro,17.84246704,7.973260555,0.099238211,38.76220259,Monsoon,130.2809389,3636.204107,0.42842048,Medium
South,Wind,5.908437959,2.927479843,4.640951595,11.72128,Summer,362.8812173,3506.507017,1.095534401,High
East,Wind,0.167657113,7.350688446,9.634992409,17.25418728,Monsoon,245.8270955,5253.383989,14.54680545,Medium
East,Wind,22.47790191,1.363446188,5.190322801,1.505193611,Spring,293.3954236,4462.582346,0.27914628,High
West,Hydro,7.988374896,0.516238139,6.775422675,48.07461623,Spring,313.5531106,8811.154805,0.811232386,High
North,Hydro,21.15571996,2.703325783,3.118638579,33.39339534,Winter,183.2461378,5104.655838,0.262774777,High
West,Wind,1.946322187,19.26230223,7.739913782,46.66025439,Winter,49.08015135,5126.802598,9.164719368,Low
North,Hydro,16.65130458,10.99059072,7.729214819,13.27482037,Summer,270.245297,1469.878788,1.060533823,High
East,Hydro,18.96652446,19.31644322,5.212960477,30.57318056,Spring,57.86443223,9829.121455,1.228526464,Medium
West,Wind,-2.667940843,8.649957567,9.760138233,33.92499841,Spring,49.35471389,2574.73162,-11.03761916,Low
East,Hydro,10.14719252,6.236322662,1.255502148,15.87748501,Spring,357.591162,826.3042679,0.672081764,High
East,Solar,1.048660462,10.12283726,0.169476649,42.40546175,Summer,485.7093845,6665.147865,5.023923727,High
North,Hydro,-2.148126329,8.790233773,7.701582118,47.35807315,Spring,274.3761178,5994.127065,-14.36411262,Medium
West,Solar,39.54821046,2.113293685,8.071555374,44.24275588,Winter,84.35728411,4209.941975,0.251178756,Medium
West,Wind,9.505923024,12.81652629,1.202072291,36.9533488,Summer,320.9902702,4279.703115,1.334351923,High
East,Hydro,31.44435006,4.32076365,2.65582833,13.87323399,Winter,51.68712444,7872.132818,0.21503257,Medium
East,Wind,6.458829464,12.3917591,0.175523634,14.08080211,Winter,410.4894538,2037.555137,1.684886723,High
North,Wind,25.6676225,13.00402185,2.933086108,48.16801602,Summer,153.0955919,8220.507858,0.597620127,High
South,Wind,29.2102537,3.040497063,7.731418739,0.514224797,Monsoon,103.649973,6522.596428,0.356564891,Medium
South,Wind,21.80374333,1.226992542,5.179605277,35.80249866,Monsoon,158.6589927,4247.80076,0.280945007,Medium
East,Wind,16.22092848,15.61523172,3.480955932,35.31230813,Winter,72.7152272,4634.483304,1.108894196,Medium
South,Hydro,13.53284114,9.196008475,3.717392949,31.13447705,Monsoon,274.9349707,2640.807351,0.888566888,High
South,Solar,10.69907199,1.16327591,0.013536257,49.5054423,Spring,402.1051979,7545.931894,0.100590215,High
South,Hydro,36.82881149,19.89732634,2.998005276,15.59397179,Summer,53.95646287,5177.459949,0.605235288,Medium
South,Hydro,32.37787335,1.15561122,6.464587416,16.99859319,Winter,146.3702037,3276.459973,0.228300903,High
East,Hydro,38.42621098,13.90070458,9.741944438,3.946970147,Spring,157.887285,6000.896146,0.599668303,High
South,Hydro,0.593375057,19.67357851,8.47060827,22.13990683,Monsoon,148.2669155,9957.771075,17.66325301,Medium
South,Solar,27.88903638,4.783602084,0.235949646,13.05242631,Spring,271.7554867,4409.096569,0.173752827,High
North,Hydro,37.22532056,2.844987374,8.985606047,17.16933511,Monsoon,70.23479217,9214.844868,0.309496251,Medium
East,Wind,3.155487977,2.427698788,7.831984133,41.72858951,Winter,44.52627049,3515.666715,2.468947805,Low
West,Hydro,-2.007667968,6.065502951,7.803761236,46.77422568,Spring,164.9870527,641.8537986,-13.76372438,Medium
West,Hydro,28.35042922,2.02091622,4.57995759,9.2866536,Summer,118.0786665,2121.996853,0.224898715,Medium
North,Solar,20.85129009,13.84322683,3.98005293,18.62544658,Winter,57.32603532,4245.081919,0.815662585,Medium
North,Solar,32.88229495,1.245835963,3.029157288,46.43152811,Spring,2.679636923,2274.385793,0.126171892,Low
East,Wind,1.289756948,10.18844256,0.65694859,3.090423034,Spring,697.2525284,102.2476784,4.736481381,High
West,Hydro,30.78702903,19.93393708,2.282353635,4.618026406,Monsoon,156.5534528,9158.515224,0.698910574,High
South,Hydro,4.073229402,16.27940539,2.46603635,8.13954946,Winter,312.7249647,8454.406171,3.694972227,High
North,Hydro,2.364517429,12.30438876,4.840770697,29.76064171,Winter,85.87968042,7448.693092,5.095874765,Low
West,Wind,2.391960907,6.125072416,7.474444066,7.52361355,Winter,76.01454394,1761.364497,4.009337624,Low
East,Solar,31.65586241,12.47791673,4.738098284,48.40381907,Winter,15.4252669,1291.599404,0.527195234,Low
South,Wind,24.93387493,10.54082928,0.578444494,22.33572636,Monsoon,196.147675,769.2870198,0.428754816,High
East,Hydro,18.53794411,8.521667678,9.57789801,25.07589802,Summer,246.9663604,7267.888969,0.926380257,High
North,Solar,11.14737179,2.614207535,9.427243191,12.33293079,Winter,180.3438189,9295.198811,0.991280331,Medium
West,Solar,34.47402434,17.7320843,7.851895431,23.54801262,Monsoon,20.95536322,4362.304627,0.721203196,Low
West,Wind,12.66002983,8.995692976,9.913279016,33.09568163,Summer,158.822458,1279.492653,1.384255541,High
West,Solar,31.74697478,3.892450236,5.444823328,37.55885685,Summer,84.43624453,5172.688925,0.285133928,Medium
West,Solar,14.76107089,7.355187018,9.627683503,37.69340414,Monsoon,116.38082,3553.435884,1.07752009,Medium
South,Hydro,11.96249932,8.282595051,0.756050406,28.89455563,Winter,284.1294506,3810.766751,0.697291875,High
South,Hydro,15.82059036,16.55075791,3.656807483,45.21798875,Summer,194.8600781,6251.173179,1.201358868,High
East,Solar,8.562004337,14.67228761,2.25381268,40.87039237,Winter,45.11367067,7215.309321,1.770141457,Low
South,Solar,28.64242211,15.38609787,1.958330841,37.85240573,Winter,9.627018561,1194.975629,0.585121845,Low
North,Wind,17.62241755,0.220625289,1.408029489,2.780276084,Spring,491.0293062,452.343285,0.087456678,High
North,Wind,5.449571282,8.323079964,6.224136416,0.343898111,Winter,114.4942118,9943.869997,2.255532305,Medium
West,Solar,35.4808558,9.626883033,7.813218557,10.62236386,Spring,11.73796289,2404.010654,0.478061745,Low
North,Hydro,12.27510496,0.383845536,5.782983994,33.1761797,Summer,101.8296692,632.9221966,0.464540924,Low
East,Solar,19.45987875,5.196264175,1.469627096,20.55987444,Monsoon,17.90484394,1979.765758,0.325803068,Low
South,Solar,35.79124499,15.20579646,8.111237699,20.12031296,Spring,66.19600349,485.6826788,0.633765837,Medium
South,Hydro,23.09070982,2.742194115,6.359547072,44.22934441,Monsoon,242.3375624,3978.927857,0.37781125,High
South,Hydro,0.260411832,10.70620263,3.881657061,44.77814241,Summer,219.4763036,8043.777666,11.57388349,Medium
North,Wind,37.29244556,4.30403744,6.741302955,45.4587632,Winter,91.15560499,3478.320053,0.288446983,Medium
South,Wind,23.24686239,0.242415493,2.599049792,15.69390383,Summer,250.5990455,4497.415728,0.117188989,High
West,Wind,10.07075266,4.824029152,3.451922085,34.55279064,Monsoon,265.5776054,6788.309058,0.747550911,High
West,Wind,1.26724327,19.5174751,9.174858431,13.58165906,Summer,278.6960671,5138.051294,12.65516317,High
West,Hydro,30.73113352,16.03074224,2.905045057,9.530491654,Winter,171.1916383,8628.312292,0.596757355,High
North,Solar,22.90327402,19.19153289,4.699882682,9.231622867,Summer,4.145144305,8673.753183,0.999503899,Low
South,Wind,19.00574914,9.757080879,8.901411374,17.10538104,Winter,201.8055483,198.1158854,0.932656514,High
North,Wind,35.22516624,2.194723974,7.077213503,21.49788099,Spring,102.4518543,7802.658434,0.255952931,Medium
